sample_id,line_id,replicate,condition_name,macrophage_harvest,salmonella_date,ng_ul_mean,rna_extraction,rna_submit,library_pool,chemistry,rna_auto,biosamples_accession
darw_A,darw_2,1,naive,10/30/2014,11/5/2014,70.35,11/6/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103884874
darw_B,darw_2,1,IFNg,10/30/2014,11/5/2014,70.35,11/6/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885265
darw_C,darw_2,1,SL1344,10/30/2014,11/5/2014,70.35,11/6/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885271
darw_D,darw_2,1,IFNg_SL1344,10/30/2014,11/5/2014,70.35,11/6/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103884972
debk_A,debk_7,1,naive,11/19/2014,11/26/2014,73.9475,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885036
debk_B,debk_7,1,IFNg,11/19/2014,11/26/2014,73.9475,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885236
debk_C,debk_7,1,SL1344,11/19/2014,11/26/2014,73.9475,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885256
debk_D,debk_7,1,IFNg_SL1344,11/19/2014,11/26/2014,73.9475,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885188
diku_A,diku_1,1,naive,11/6/2015,11/13/2015,293.9625,11/30/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885102
diku_B,diku_1,1,IFNg,11/6/2015,11/13/2015,293.9625,11/30/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885347
diku_C,diku_1,1,SL1344,11/6/2015,11/13/2015,293.9625,11/30/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885043
diku_D,diku_1,1,IFNg_SL1344,11/6/2015,11/13/2015,293.9625,11/30/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885392
eika_A,eika_2,1,naive,4/7/2015,4/14/2015,48.295,4/29/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885227
eika_B,eika_2,1,IFNg,4/7/2015,4/14/2015,48.295,4/29/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885046
eika_C,eika_2,1,SL1344,4/7/2015,4/14/2015,48.295,4/29/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885318
eika_D,eika_2,1,IFNg_SL1344,4/7/2015,4/14/2015,48.295,4/29/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884944
eipl_A,eipl_1,1,naive,7/29/2015,8/4/2015,134.5175,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885293
eipl_B,eipl_1,1,IFNg,7/29/2015,8/4/2015,134.5175,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885339
eipl_C,eipl_1,1,SL1344,7/29/2015,8/4/2015,134.5175,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885189
eipl_D,eipl_1,1,IFNg_SL1344,7/29/2015,8/4/2015,134.5175,8/14/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885207
eiwy_A,eiwy_1,1,naive,11/25/2015,12/2/2015,193.545,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885182
eiwy_B,eiwy_1,1,IFNg,11/25/2015,12/2/2015,193.545,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885136
eiwy_C,eiwy_1,1,SL1344,11/25/2015,12/2/2015,193.545,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885413
eiwy_D,eiwy_1,1,IFNg_SL1344,11/25/2015,12/2/2015,193.545,12/3/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884967
eofe_A,eofe_1,1,naive,12/5/2014,12/12/2014,49.185,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885254
eofe_B,eofe_1,1,IFNg,12/5/2014,12/12/2014,49.185,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885033
eofe_C,eofe_1,1,SL1344,12/5/2014,12/12/2014,49.185,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885051
eofe_D,eofe_1,1,IFNg_SL1344,12/5/2014,12/12/2014,49.185,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884917
eojr_A,eojr_3,1,naive,4/29/2015,5/6/2015,136.06,5/17/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103884955
eojr_B,eojr_3,1,IFNg,4/29/2015,5/6/2015,136.06,5/17/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885005
eojr_C,eojr_3,1,SL1344,4/29/2015,5/6/2015,136.06,5/17/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885260
eojr_D,eojr_3,1,IFNg_SL1344,4/29/2015,5/6/2015,136.06,5/17/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885270
euir_A,euir_2,1,naive,11/28/2014,12/5/2014,110.155,12/8/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885034
euir_B,euir_2,1,IFNg,11/28/2014,12/5/2014,110.155,12/8/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885365
euir_C,euir_2,1,SL1344,11/28/2014,12/5/2014,110.155,12/8/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885163
euir_D,euir_2,1,IFNg_SL1344,11/28/2014,12/5/2014,110.155,12/8/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885181
fafq_A,fafq_1,1,naive,10/7/2015,10/14/2015,177.1425,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884994
fafq_B,fafq_1,1,IFNg,10/7/2015,10/14/2015,177.1425,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885320
fafq_C,fafq_1,1,SL1344,10/7/2015,10/14/2015,177.1425,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885372
fafq_D,fafq_1,1,IFNg_SL1344,10/7/2015,10/14/2015,177.1425,11/6/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885333
febc_A,febc_2,1,naive,7/29/2015,8/4/2015,123.5825,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885069
febc_B,febc_2,1,IFNg,7/29/2015,8/4/2015,123.5825,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885403
febc_C,febc_2,1,SL1344,7/29/2015,8/4/2015,123.5825,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885394
febc_D,febc_2,1,IFNg_SL1344,7/29/2015,8/4/2015,123.5825,8/16/2015,9/16/2015,3226_RNAauto-160915,V4_auto,1,SAMEA103885100
ffdm_A,ffdm_3,1,naive,10/6/2014,10/13/2014,52.225,12/4/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885002
ffdm_B,ffdm_3,1,IFNg,10/6/2014,10/13/2014,52.225,12/4/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885184
ffdm_C,ffdm_3,1,SL1344,10/6/2014,10/13/2014,52.225,12/4/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103884924
ffdm_D,ffdm_3,1,IFNg_SL1344,10/6/2014,10/13/2014,52.225,12/4/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885001
fikt_A,fikt_3,1,naive,10/28/2015,11/5/2015,167.5425,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885368
fikt_B,fikt_3,1,IFNg,10/28/2015,11/5/2015,167.5425,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885218
fikt_C,fikt_3,1,SL1344,10/28/2015,11/5/2015,167.5425,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885319
fikt_D,fikt_3,1,IFNg_SL1344,10/28/2015,11/5/2015,167.5425,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885004
fpdj_A,fpdj_3,1,naive,9/12/2014,9/18/2014,123.535,9/22/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103884893
fpdj_A_2,fpdj_3,2,naive,11/19/2014,11/26/2014,94.4575,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885346
fpdj_B,fpdj_3,1,IFNg,9/12/2014,9/18/2014,123.535,9/22/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885321
fpdj_B_2,fpdj_3,2,IFNg,11/19/2014,11/26/2014,94.4575,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885098
fpdj_C,fpdj_3,1,SL1344,9/12/2014,9/18/2014,123.535,9/22/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885234
fpdj_C_2,fpdj_3,2,SL1344,11/19/2014,11/26/2014,94.4575,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885110
fpdj_D,fpdj_3,1,IFNg_SL1344,9/12/2014,9/18/2014,123.535,9/22/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103884969
fpdj_D_2,fpdj_3,2,IFNg_SL1344,11/19/2014,11/26/2014,94.4575,12/7/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885088
fpdl_A,fpdl_1,1,naive,10/15/2014,10/22/2014,86.47,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885154
fpdl_A_2,fpdl_1,2,naive,5/26/2014,6/3/2014,213.135,6/6/2014,7/13/2014,3226_dUTP_160714_1,V3,0,SAMEA103884888
fpdl_B,fpdl_1,1,IFNg,10/15/2014,10/22/2014,86.47,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885332
fpdl_B_2,fpdl_1,2,IFNg,5/26/2014,6/3/2014,213.135,6/6/2014,7/13/2014,3226_dUTP_160714_1,V3,0,SAMEA103885289
fpdl_C,fpdl_1,1,SL1344,10/15/2014,10/22/2014,86.47,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103885011
fpdl_C_2,fpdl_1,2,SL1344,5/26/2014,6/3/2014,213.135,6/6/2014,7/13/2014,3226_dUTP_160714_1,V3,0,SAMEA103885251
fpdl_D,fpdl_1,1,IFNg_SL1344,10/15/2014,10/22/2014,86.47,11/15/2014,11/18/2014,3226_RNA-3_191114,V4,0,SAMEA103884977
fpdl_D_2,fpdl_1,2,IFNg_SL1344,5/26/2014,6/3/2014,213.135,6/6/2014,7/13/2014,3226_dUTP_160714_1,V3,0,SAMEA103884986
funp_A,funp_3,1,naive,8/14/2014,8/22/2014,124.5425,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885053
funp_B,funp_3,1,IFNg,8/14/2014,8/22/2014,124.5425,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885192
funp_C,funp_3,1,SL1344,8/14/2014,8/22/2014,124.5425,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103884881
funp_D,funp_3,1,IFNg_SL1344,8/14/2014,8/22/2014,124.5425,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885025
