line_id,donor,clone,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,salmonella_date,atac_date,flow_date,medium_changes,terminated,status,mean_purity,max_purity,genotype_id,open_access,sex,RNA_included,ATAC_included
eofe_1,eofe,1,1,10/24/2014,10/24/2014,35,alive,KSR,10/29/2014,36,11/1/2014,12/12/2014,12/12/2014,12/4/2014,8,12/19/2014,Success,0.977151100563079,0.979617478710038,HPSI1113i-eofe_1,1,female,1,1
euir_2,euir,2,1,10/24/2014,10/24/2014,51,alive,KSR,10/31/2014,52,11/4/2014,12/5/2014,NA,12/4/2014,6,12/19/2014,Success,0.987445518286905,0.990903922683343,HPSI0513i-euir_2,0,male,1,0
jorr_1,jorr,1,1,10/24/2014,10/24/2014,47,alive,KSR,10/31/2014,48,11/4/2014,12/12/2014,NA,NA,8,12/19/2014,Success,NA,NA,HPSI0613i-jorr_1,0,female,1,0
nibo_2,nibo,2,1,10/24/2014,1/9/2015,27,frozen,KSR,1/30/2015,30,2/2/2015,3/25/2015,NA,4/2/2015,10,4/7/2015,Success,0.990144119014412,0.999023709902371,HPSI1113i-nibo_2,0,female,1,0
xegx_2,xegx,2,1,10/24/2014,10/24/2014,29,alive,KSR,10/31/2014,30,11/4/2014,NA,NA,NA,7,12/19/2014,Diff_fail,NA,NA,HPSI0513i-xegx_2,0,female,0,0
xegx_2,xegx,2,2,10/24/2014,1/21/2015,30,frozen,KSR,2/8/2015,33,2/11/2015,NA,NA,NA,5,3/9/2015,Diff_fail,NA,NA,HPSI0513i-xegx_2,0,female,0,0
nekd_1,nekd,1,1,11/6/2014,2/2/2015,32,alive/frozen,KSR,2/27/2015,37,3/2/2015,NA,NA,NA,6,4/7/2015,Diff_fail,NA,NA,HPSI1213i-nekd_1,1,male,0,0
ougl_3,ougl,3,2,11/6/2014,1/9/2015,47,alive/frozen,KSR,1/29/2015,50,2/1/2015,3/25/2015,NA,4/2/2015,10,4/7/2015,Success,0.831803708559655,0.844165574077543,HPSI0413i-ougl_3,0,male,0,0
bezi_1,bezi,1,1,1/14/2015,5/26/2015,30,frozen,E8,6/15/2015,34,6/18/2015,NA,NA,7/30/2015,10,8/12/2015,Success,0.955234474017744,0.959239543726236,HPSI0114i-bezi_1,1,female,0,0
bubh_1,bubh,1,1,1/14/2015,2/4/2015,24,frozen,E8,2/20/2015,28,2/23/2015,4/1/2015,NA,4/13/2015,10,4/10/2015,Success,0.801584606677985,0.814091680814941,HPSI0314i-bubh_1,1,female,1,0
cicb_3,cicb,3,1,1/14/2015,3/9/2015,39,frozen,E8,3/27/2015,43,3/30/2015,4/24/2015,4/24/2015,4/23/2015,6,4/29/2015,Success,0.970668732248903,0.984043377226956,HPSI0713i-cicb_3,0,male,1,1
cuhk_2,cuhk,2,1,1/14/2015,2/4/2015,27,frozen,E8,2/17/2015,31,2/20/2015,NA,NA,NA,9,4/2/2015,Diff_fail,NA,NA,HPSI0314i-cuhk_2,1,female,0,0
cups_3,cups,3,1,1/14/2015,2/2/2015,24,frozen,KSR,2/24/2015,28,2/27/2015,4/8/2015,NA,4/13/2015,7,4/7/2015,Success,0.977788800705467,0.978835978835979,HPSI1013i-cups_3,1,female,1,0
dard_2,dard,2,1,1/14/2015,3/13/2015,35,frozen,E8,3/27/2015,39,3/30/2015,NA,NA,NA,12,5/20/2015,FC_QC_fail,NA,NA,HPSI0713i-dard_2,0,female,0,0
eika_2,eika,2,1,1/14/2015,2/4/2015,28,frozen,E8,3/2/2015,32,3/5/2015,4/14/2015,4/17/2015,4/13/2015,9,4/20/2015,Success,0.962831286360698,0.96961861667744,HPSI0913i-eika_2,1,male,1,1
eojr_3,eojr,3,1,1/14/2015,3/13/2015,35,frozen,E8,3/27/2015,39,3/30/2015,5/6/2015,5/13/2015,5/5/2015,9,5/12/2015,Success,0.986139680673915,0.990890390831619,HPSI0613i-eojr_3,0,male,1,1
febc_2,febc,2,1,1/14/2015,6/6/2015,35,frozen,E8,7/3/2015,40,7/6/2015,8/4/2015,8/4/2015,8/5/2015,6,8/8/2015,Success,0.973899045647925,0.975508796136599,HPSI0613i-febc_2,0,female,1,1
foop_1,foop,1,1,1/14/2015,5/21/2015,25,frozen,E8,6/8/2015,29,6/11/2015,NA,NA,NA,8,7/24/2015,Diff_fail,NA,NA,HPSI0713i-foop_1,0,female,0,0
hiaf_2,hiaf,2,1,1/14/2015,5/26/2015,26,frozen,E8,6/15/2015,31,6/18/2015,7/22/2015,7/22/2015,7/21/2015,7,7/24/2015,Success,0.994707207207207,1,HPSI1013i-hiaf_2,1,male,1,1
ieki_2,ieki,2,1,1/14/2015,2/4/2015,38,frozen,E8,2/27/2015,42,3/2/2015,4/14/2015,4/17/2015,4/13/2015,11,4/20/2015,Success,0.989294078287053,0.993977919036467,HPSI1113i-ieki_2,1,female,1,1
iicq_1,iicq,1,1,1/14/2015,2/4/2015,35,frozen,KSR,2/23/2015,38,2/26/2015,4/8/2015,NA,4/8/2015,7,4/7/2015,Success,0.976101007064482,0.978806553434541,HPSI0813i-iicq_1,0,female,1,0
iill_1,iill,1,1,1/14/2015,9/9/2015,36,frozen,E8,9/24/2015,40,9/27/2015,11/5/2015,11/5/2015,11/3/2015,7,11/5/2015,Success,0.996837698200606,1,HPSI0813i-iill_1,0,male,1,1
iisa_3,iisa,3,1,1/14/2015,2/23/2015,30,frozen,E8,3/23/2015,35,3/26/2015,5/6/2015,5/13/2015,5/5/2015,8,5/12/2015,Success,0.986971059610285,0.99948114839156,HPSI0114i-iisa_3,1,male,1,1
joxm_1,joxm,1,1,1/14/2015,3/10/2015,32,frozen,E8,3/23/2015,36,3/26/2015,5/6/2015,5/13/2015,5/14/2015,9,5/12/2015,Success,0.929674554252005,0.9317955856035,HPSI0114i-joxm_1,1,female,1,1
